id,wholesaler_id,retailer_id,buyer_type,shipping_type,order_type,book_time,last_status,last_status_time,anomaly_label,trx_time,trx_date,line_count,line_hms,qty,qty_hms,value,value_hms,ts
5270143,154524,104735,retailer,pick-up,app,8/29/2020 15:53,siap-diambil,8/29/2020 16:06,0,2020-08-29 15:53:00,20200829,6,6,44.0,44.0,844750,844750,1598716380.0
5331813,137063,103017,retailer,pick-up,app,9/1/2020 16:10,siap-diambil,9/8/2020 11:24,0,2020-09-01 16:10:00,20200901,1,1,20.0,20.0,316000,316000,1598976600.0
5417783,66127,57862,retailer,pick-up,app,9/5/2020 10:59,selesai,9/5/2020 18:42,0,2020-09-05 10:59:00,20200905,29,3,84.0,15.0,1073000,281500,1599303540.0
5386974,144940,176418,retailer,pick-up,app,9/4/2020 6:21,selesai,9/16/2020 5:18,0,2020-09-04 06:21:00,20200904,20,2,96.0,20.0,1316850,271750,1599200460.0
5387065,1117875,23291,retailer,pick-up,app,9/4/2020 6:28,selesai,9/5/2020 12:06,0,2020-09-04 06:28:00,20200904,3,0,3.0,0.0,403000,0,1599200880.0
5285453,58028,24796,retailer,pick-up,app,8/30/2020 17:59,selesai,8/31/2020 11:13,0,2020-08-30 17:59:00,20200830,15,8,210.0,100.0,4080000,2075000,1598810340.0
5192567,58238,33072,retailer,same-day,app,8/26/2020 10:18,selesai,8/27/2020 16:24,0,2020-08-26 10:18:00,20200826,10,6,29.0,15.0,1895000,1541500,1598437080.0
5192676,159970,1155101,retailer,next-day,app,8/26/2020 10:22,selesai,8/28/2020 17:02,0,2020-08-26 10:22:00,20200826,16,1,189.0,10.0,1926000,214500,1598437320.0
5125558,58028,24796,retailer,pick-up,app,8/23/2020 9:39,selesai,8/24/2020 16:00,0,2020-08-23 09:39:00,20200823,15,8,210.0,100.0,4080000,2075000,1598175540.0
5189923,60841,29562,retailer,pick-up,app,8/26/2020 9:02,selesai,8/26/2020 9:15,0,2020-08-26 09:02:00,20200826,63,15,644.0,405.0,25561000,12463000,1598432520.0
5189957,89992,44418,retailer,pick-up,otc,8/26/2020 9:03,selesai,8/27/2020 16:44,0,2020-08-26 09:03:00,20200826,9,9,210.0,210.0,2562000,2562000,1598432580.0
5189959,53872,29215,retailer,next-day,app,8/26/2020 9:03,selesai,8/31/2020 16:04,0,2020-08-26 09:03:00,20200826,2,2,20.0,20.0,273000,273000,1598432580.0
5190102,137088,144194,retailer,same-day,app,8/26/2020 9:07,selesai,8/28/2020 8:34,0,2020-08-26 09:07:00,20200826,16,2,151.0,20.0,2414500,422500,1598432820.0
5190468,92271,1253677,retailer,pick-up,otc,8/26/2020 9:18,selesai,8/26/2020 9:18,0,2020-08-26 09:18:00,20200826,20,0,536.0,0.0,23185000,0,1598433480.0
3700386,144915,216658,retailer,pick-up,otc,6/16/2020 14:01,selesai,6/16/2020 14:01,0,2020-06-16 14:01:00,20200616,6,3,51.0,30.0,905300,626000,1592316060.0
3519615,134903,190532,retailer,pick-up,app,6/4/2020 12:50,selesai,6/5/2020 13:12,0,2020-06-04 12:50:00,20200604,3,1,32.0,10.0,548000,222000,1591275000.0
3797775,54444,237111,retailer,same-day,app,6/22/2020 10:50,selesai,6/27/2020 9:54,0,2020-06-22 10:50:00,20200622,3,0,38.0,0.0,994000,0,1592823000.0
3775392,55952,61674,retailer,pick-up,app,6/20/2020 16:59,selesai,6/25/2020 15:45,0,2020-06-20 16:59:00,20200620,2,1,5.0,2.0,67098,38598,1592672340.0
3775456,56853,199053,retailer,pick-up,app,6/20/2020 17:04,selesai,7/24/2020 13:17,0,2020-06-20 17:04:00,20200620,1,0,144.0,0.0,220000,0,1592672640.0
3800024,132955,125783,retailer,pick-up,app,6/22/2020 12:07,selesai,7/2/2020 14:23,0,2020-06-22 12:07:00,20200622,3,3,4.0,4.0,66500,66500,1592827620.0
3800056,147705,72788,retailer,same-day,app,6/22/2020 12:08,selesai,6/25/2020 14:01,0,2020-06-22 12:08:00,20200622,10,3,205.0,22.0,4964500,2909000,1592827680.0
3800058,232623,1102634,retailer,pick-up,app,6/22/2020 12:08,siap-diambil,6/23/2020 14:48,0,2020-06-22 12:08:00,20200622,13,2,37.0,7.0,384700,129900,1592827680.0
3800081,56210,13593,retailer,same-day,app,6/22/2020 12:09,selesai,6/23/2020 18:52,0,2020-06-22 12:09:00,20200622,20,0,228.0,0.0,2138700,0,1592827740.0
