,id,wholesaler_id,retailer_id,buyer_type,shipping_type,order_type,book_time,last_status,last_status_time,anomaly_label
0,3585206,137074,114640.0,retailer,pick-up,app,6/9/2020 8:46,selesai,6/22/2020 22:12,0
1,3585223,172815,190897.0,retailer,pick-up,app,6/9/2020 8:47,pesanan-diterima,6/11/2020 15:05,0
2,3585240,137074,116441.0,retailer,same-day,app,6/9/2020 8:48,selesai,6/9/2020 19:08,0
3,3585255,142438,1096210.0,retailer,pick-up,app,6/9/2020 8:49,siap-diambil,6/9/2020 8:50,0
4,3585257,59125,,guest,pick-up,otc,6/9/2020 8:49,selesai,6/9/2020 8:49,0
5,3585272,135132,110094.0,retailer,pick-up,app,6/9/2020 8:49,selesai,6/10/2020 7:35,0
6,3585289,141694,126113.0,retailer,pick-up,app,6/9/2020 8:50,selesai,6/10/2020 20:26,0
7,3585306,54204,18819.0,retailer,pick-up,app,6/9/2020 8:50,selesai,6/10/2020 9:55,0
8,3585323,145109,241385.0,retailer,same-day,app,6/9/2020 8:51,selesai,6/11/2020 15:43,0
9,3585340,54995,50062.0,retailer,same-day,app,6/9/2020 8:52,selesai,6/15/2020 13:57,0
10,3585355,138430,52163.0,retailer,pick-up,app,6/9/2020 8:52,selesai,6/11/2020 9:18,0
11,3743257,54577,36259.0,retailer,pick-up,app,6/19/2020 0:53,selesai,6/19/2020 16:10,0
12,3743274,101429,508537.0,retailer,pick-up,app,6/19/2020 1:17,selesai,6/20/2020 17:43,0
13,3743306,137913,121827.0,retailer,pick-up,app,6/19/2020 2:07,selesai,6/20/2020 12:25,0
14,3743323,170118,234221.0,retailer,pick-up,app,6/19/2020 2:43,selesai,6/19/2020 2:51,0
15,3743340,132104,106453.0,retailer,pick-up,app,6/19/2020 3:30,selesai,6/20/2020 10:40,0
16,3743357,169010,212745.0,retailer,pick-up,app,6/19/2020 4:17,selesai,6/20/2020 20:37,0
17,3688739,53829,35890.0,retailer,same-day,app,6/15/2020 22:08,selesai,6/17/2020 9:20,0
18,3688756,151532,228917.0,retailer,pick-up,otc,6/15/2020 22:11,selesai,6/15/2020 22:11,0
19,3688773,149436,75018.0,retailer,pick-up,app,6/15/2020 22:14,selesai,6/18/2020 16:26,0
20,3688805,56127,47724.0,retailer,pick-up,app,6/15/2020 22:21,siap-diambil,6/16/2020 17:08,0
21,3688822,136276,127040.0,retailer,pick-up,app,6/15/2020 22:25,selesai,6/15/2020 22:40,0
22,3688839,155371,226964.0,retailer,pick-up,otc,6/15/2020 22:28,selesai,6/15/2020 22:28,0
23,3688856,54586,20625.0,retailer,same-day,app,6/15/2020 22:32,selesai,6/19/2020 7:03,0
24,3657655,135619,240042.0,retailer,pick-up,app,6/13/2020 16:51,selesai,6/14/2020 6:43,0
25,3657657,54022,240437.0,retailer,pick-up,otc,6/13/2020 16:52,selesai,6/13/2020 16:52,0
26,3657672,141815,186586.0,retailer,pick-up,app,6/13/2020 16:52,selesai,6/14/2020 11:36,0
27,3657687,234791,,guest,pick-up,otc,6/13/2020 16:53,selesai,6/13/2020 16:53,0
28,3657689,137919,145202.0,retailer,same-day,app,6/13/2020 16:53,selesai,6/17/2020 9:11,0
29,3657723,155450,95688.0,retailer,pick-up,otc,6/13/2020 16:55,selesai,6/13/2020 16:55,0
30,3657738,136200,111719.0,retailer,pick-up,app,6/13/2020 16:56,selesai,6/15/2020 9:51,0
31,3657755,140686,73546.0,retailer,pick-up,app,6/13/2020 16:57,selesai,6/14/2020 0:47,0
32,3657789,56945,34700.0,retailer,pick-up,app,6/13/2020 16:59,selesai,6/24/2020 11:10,0
33,3554254,131423,81702.0,retailer,pick-up,app,6/6/2020 17:38,selesai,7/10/2020 0:19,0
34,3554271,159081,224561.0,retailer,pick-up,app,6/6/2020 17:41,selesai,6/7/2020 7:41,0
35,3554337,154557,223751.0,retailer,pick-up,otc,6/6/2020 17:51,selesai,6/6/2020 17:51,0
36,3554354,137079,261813.0,retailer,pick-up,app,6/6/2020 17:53,selesai,6/20/2020 17:30,0
37,3528335,55952,259349.0,retailer,pick-up,app,6/5/2020 7:58,selesai,6/9/2020 20:43,0
38,3528367,54441,144093.0,retailer,same-day,app,6/5/2020 8:00,selesai,6/8/2020 14:51,0
39,3528384,149437,71633.0,retailer,pick-up,app,6/5/2020 8:01,selesai,6/8/2020 9:16,0
40,3528386,53841,5477.0,retailer,pick-up,app,6/5/2020 8:01,selesai,6/9/2020 15:26,0
41,3528401,58490,27593.0,retailer,pick-up,app,6/5/2020 8:02,siap-diambil,6/6/2020 14:40,0
42,3528418,101429,130237.0,retailer,same-day,app,6/5/2020 8:03,selesai,6/7/2020 10:06,0
43,3528450,135619,172503.0,retailer,pick-up,app,6/5/2020 8:05,selesai,6/5/2020 8:20,0
44,3528467,229599,125358.0,retailer,pick-up,app,6/5/2020 8:06,selesai,6/5/2020 15:12,0
45,3528469,151258,98239.0,retailer,pick-up,app,6/5/2020 8:06,selesai,6/5/2020 17:16,0
46,3499857,54995,43108.0,retailer,same-day,app,6/3/2020 8:16,selesai,6/12/2020 12:38,0
47,3499874,54051,136444.0,retailer,pick-up,app,6/3/2020 8:17,selesai,6/3/2020 15:02,0
48,3499908,54815,14361.0,retailer,same-day,app,6/3/2020 8:19,selesai,6/4/2020 14:31,0
49,3499940,56113,228071.0,retailer,same-day,app,6/3/2020 8:20,selesai,6/3/2020 22:08,0
50,3499957,194753,197343.0,retailer,pick-up,otc,6/3/2020 8:21,selesai,6/3/2020 8:21,0
51,3499974,170249,76719.0,retailer,pick-up,app,6/3/2020 8:22,selesai,6/6/2020 10:37,0
52,3499991,197776,124134.0,retailer,pick-up,app,6/3/2020 8:22,selesai,6/6/2020 10:44,0
53,3790153,137142,97668.0,retailer,pick-up,app,6/22/2020 5:45,selesai,7/14/2020 9:06,0
54,3790170,56157,18806.0,retailer,pick-up,app,6/22/2020 5:49,selesai,6/23/2020 7:22,0
55,3606734,234791,,guest,pick-up,otc,6/10/2020 13:07,selesai,6/10/2020 13:07,0
56,3606749,57669,,guest,pick-up,otc,6/10/2020 13:07,selesai,6/10/2020 13:07,0
57,3585200,55696,44358.0,retailer,same-day,app,6/9/2020 8:46,selesai,6/12/2020 10:52,0
58,3585214,57966,227619.0,retailer,pick-up,app,6/9/2020 8:47,siap-diambil,6/9/2020 11:06,0
59,3585232,60107,32773.0,retailer,pick-up,app,6/9/2020 8:48,selesai,6/9/2020 11:12,0
60,3585249,140320,212420.0,retailer,pick-up,app,6/9/2020 8:48,selesai,6/9/2020 9:02,0
61,3585263,154557,156022.0,retailer,pick-up,otc,6/9/2020 8:49,selesai,6/9/2020 8:49,0
62,3585300,154557,211321.0,retailer,pick-up,otc,6/9/2020 8:50,selesai,6/9/2020 8:50,0
63,3585332,230531,240016.0,retailer,pick-up,app,6/9/2020 8:51,selesai,6/12/2020 11:45,0
64,3585349,247662,666028.0,retailer,pick-up,app,6/9/2020 8:52,selesai,6/11/2020 17:30,0
65,3743246,139119,235970.0,retailer,pick-up,app,6/19/2020 0:44,selesai,6/19/2020 13:42,0
66,3743263,252844,1101495.0,retailer,pick-up,otc,6/19/2020 1:00,selesai,6/19/2020 1:00,0
67,3743300,135291,106281.0,retailer,same-day,app,6/19/2020 2:00,selesai,6/24/2020 18:59,0
68,3743349,146895,14853.0,retailer,same-day,app,6/19/2020 4:09,selesai,6/19/2020 12:14,0
69,3743363,156024,74484.0,retailer,pick-up,app,6/19/2020 4:26,siap-diambil,6/30/2020 10:28,0
70,3688816,54584,206351.0,retailer,pick-up,otc,6/15/2020 22:23,selesai,6/15/2020 22:23,0
71,3688833,233752,138128.0,retailer,pick-up,otc,6/15/2020 22:27,selesai,6/15/2020 22:27,0
72,3688865,132745,114525.0,retailer,pick-up,app,6/15/2020 22:33,selesai,6/17/2020 9:51,0
73,3657632,54022,237789.0,retailer,pick-up,otc,6/13/2020 16:50,selesai,6/13/2020 16:50,0
74,3657645,178815,,guest,pick-up,otc,6/13/2020 16:51,selesai,6/13/2020 16:51,0
75,3657646,58227,16340.0,retailer,pick-up,app,6/13/2020 16:51,selesai,6/20/2020 9:06,0
76,3657663,170118,175137.0,retailer,pick-up,app,6/13/2020 16:52,selesai,6/14/2020 9:45,0
77,3657678,54022,1109738.0,retailer,pick-up,otc,6/13/2020 16:53,selesai,6/13/2020 16:53,0
78,3657695,138989,92885.0,retailer,pick-up,app,6/13/2020 16:53,selesai,6/23/2020 16:46,0
79,3657732,53834,1116091.0,retailer,pick-up,otc,6/13/2020 16:55,selesai,6/13/2020 16:55,0
80,3657746,54022,237622.0,retailer,pick-up,otc,6/13/2020 16:56,selesai,6/13/2020 16:56,0
81,3657763,147705,78617.0,retailer,pick-up,app,6/13/2020 16:57,selesai,6/14/2020 11:07,0
82,3657781,54022,5651.0,retailer,pick-up,otc,6/13/2020 16:58,selesai,7/14/2020 10:30,0
83,3657795,152205,112479.0,retailer,pick-up,app,6/13/2020 17:00,selesai,6/14/2020 13:53,0
84,3554248,155809,171010.0,retailer,pick-up,app,6/6/2020 17:38,selesai,6/14/2020 18:40,0
85,3554298,162177,85622.0,retailer,pick-up,app,6/6/2020 17:45,selesai,6/8/2020 13:05,0
86,3554312,137089,213916.0,retailer,pick-up,app,6/6/2020 17:48,siap-diambil,6/6/2020 17:52,0
87,3554315,89346,251443.0,retailer,same-day,app,6/6/2020 17:48,selesai,6/16/2020 9:27,0
88,3554329,236594,1102429.0,retailer,pick-up,otc,6/6/2020 17:49,selesai,6/6/2020 17:49,0
89,3554397,61608,39944.0,retailer,pick-up,app,6/6/2020 17:56,selesai,6/8/2020 11:02,0
90,3554398,231727,257144.0,retailer,same-day,app,6/6/2020 17:56,pesanan-diterima,8/25/2020 15:00,0
91,3528343,144940,175672.0,retailer,pick-up,app,6/5/2020 7:58,selesai,6/6/2020 16:24,0
92,3528344,153631,96034.0,retailer,same-day,app,6/5/2020 7:58,selesai,6/5/2020 9:54,0
93,3528358,138071,247058.0,retailer,same-day,app,6/5/2020 7:59,selesai,6/6/2020 12:12,0
94,3528361,140348,125504.0,retailer,same-day,app,6/5/2020 7:59,selesai,6/6/2020 14:31,0
95,3528375,143485,110903.0,retailer,pick-up,app,6/5/2020 8:00,selesai,6/13/2020 15:06,0
96,3528426,160659,125869.0,retailer,pick-up,app,6/5/2020 8:03,selesai,6/5/2020 16:54,0
97,3528443,139549,167072.0,retailer,pick-up,app,6/5/2020 8:05,selesai,6/5/2020 11:10,0
98,3528444,58238,6524.0,retailer,same-day,app,6/5/2020 8:05,selesai,6/5/2020 20:48,0
99,3528458,164729,71320.0,retailer,pick-up,app,6/5/2020 8:05,selesai,6/5/2020 19:02,0
100,3528461,53834,1103371.0,retailer,pick-up,otc,6/5/2020 8:06,selesai,6/5/2020 8:06,0
101,3499813,53829,24222.0,retailer,same-day,app,6/3/2020 8:13,selesai,6/7/2020 9:12,0
102,3499814,177146,112985.0,retailer,pick-up,app,6/3/2020 8:13,selesai,6/4/2020 8:44,0
103,3499831,177584,29287.0,retailer,pick-up,app,6/3/2020 8:14,selesai,6/4/2020 16:27,0
104,3499896,132943,144642.0,retailer,pick-up,app,6/3/2020 8:18,selesai,6/3/2020 23:26,0
105,3499913,54027,22056.0,retailer,same-day,app,6/3/2020 8:19,selesai,6/7/2020 13:16,0
106,3499914,238758,110110.0,retailer,same-day,app,6/3/2020 8:19,selesai,6/3/2020 9:01,0
107,3499931,57731,39730.0,retailer,pick-up,app,6/3/2020 8:20,selesai,6/3/2020 12:34,0
108,3499996,172815,197358.0,retailer,pick-up,app,6/3/2020 8:23,pesanan-diterima,6/3/2020 8:57,0
109,3790009,154557,134500.0,retailer,pick-up,otc,6/22/2020 5:03,selesai,6/22/2020 5:03,0
110,3790024,56574,130355.0,retailer,pick-up,app,6/22/2020 5:10,siap-diambil,6/22/2020 16:05,0
111,3790027,53841,5131.0,retailer,same-day,app,6/22/2020 5:12,selesai,6/23/2020 16:14,0
112,3790092,138013,102007.0,retailer,same-day,app,6/22/2020 5:32,selesai,6/23/2020 13:45,0
113,3585197,230531,268854.0,retailer,pick-up,app,6/9/2020 8:46,selesai,6/10/2020 6:57,0
114,3585215,140094,102208.0,retailer,same-day,app,6/9/2020 8:47,selesai,6/19/2020 10:16,0
115,3585266,55616,20086.0,retailer,same-day,app,6/9/2020 8:49,selesai,7/27/2020 19:13,0
116,3585280,137074,262256.0,retailer,same-day,app,6/9/2020 8:49,selesai,6/10/2020 19:15,0
117,3585283,60937,23823.0,retailer,pick-up,app,6/9/2020 8:50,pesanan-diterima,6/11/2020 15:32,0
118,3585297,132183,194665.0,retailer,same-day,app,6/9/2020 8:50,selesai,6/11/2020 7:04,0
119,3585298,132745,110739.0,retailer,pick-up,app,6/9/2020 8:50,selesai,6/15/2020 19:03,0
120,3585315,139675,144709.0,retailer,pick-up,app,6/9/2020 8:51,selesai,6/11/2020 7:59,0
121,3743266,137934,122192.0,retailer,pick-up,app,6/19/2020 1:03,selesai,6/19/2020 15:22,0
122,3743280,56578,259977.0,retailer,pick-up,app,6/19/2020 1:31,selesai,6/20/2020 8:53,0
123,3743283,164729,87667.0,retailer,pick-up,app,6/19/2020 1:39,selesai,6/20/2020 12:51,0
124,3743297,59050,22333.0,retailer,pick-up,app,6/19/2020 1:58,selesai,6/21/2020 16:35,0
125,3743366,62674,35959.0,retailer,same-day,app,6/19/2020 4:28,konfirmasi-perubahan,6/19/2020 14:23,0
126,3743380,54444,216218.0,retailer,same-day,app,6/19/2020 4:38,selesai,6/23/2020 1:38,0
127,3743383,140204,1113535.0,retailer,pick-up,app,6/19/2020 4:43,siap-diambil,6/19/2020 9:10,0
128,3688782,253712,102882.0,retailer,pick-up,app,6/15/2020 22:16,selesai,6/16/2020 17:07,0
129,3688799,151532,1117917.0,retailer,pick-up,otc,6/15/2020 22:19,selesai,7/3/2020 20:45,0
130,3688882,57415,163570.0,retailer,pick-up,app,6/15/2020 22:37,selesai,6/18/2020 13:11,0
131,3657629,53834,1116133.0,retailer,pick-up,otc,6/13/2020 16:50,selesai,6/13/2020 16:50,0
132,3657680,135756,131278.0,retailer,pick-up,app,6/13/2020 16:53,selesai,6/14/2020 9:41,0
133,3657698,53834,1116147.0,retailer,pick-up,otc,6/13/2020 16:53,selesai,6/13/2020 16:53,0
134,3657712,139102,103130.0,retailer,pick-up,app,6/13/2020 16:54,selesai,6/19/2020 15:27,0
135,3657715,135291,103945.0,retailer,pick-up,app,6/13/2020 16:54,selesai,7/8/2020 16:39,0
136,3657780,141465,125040.0,retailer,pick-up,app,6/13/2020 16:58,pesanan-dilihat,6/13/2020 17:24,0
