,id,wholesaler_id,retailer_id,buyer_type,shipping_type,order_type,book_time,last_status,last_status_time,trx_time,trx_date,line_count,line_hms,value,value_hms,qty,qty_hms,value_hms_pred,diff,anomaly_label_pred
0,3585206,137074,114640.0,retailer,pick-up,app,6/9/2020 8:46,selesai,6/22/2020 22:12,2020-06-09 08:46:00,20200609,8,0,476600,0,10,0,0.0,0.0,0.0
1,3585223,172815,190897.0,retailer,pick-up,app,6/9/2020 8:47,pesanan-diterima,6/11/2020 15:05,2020-06-09 08:47:00,20200609,10,4,857500,278100,27,15,0.0,0.0,0.0
2,3585240,137074,116441.0,retailer,same-day,app,6/9/2020 8:48,selesai,6/9/2020 19:08,2020-06-09 08:48:00,20200609,11,5,2853000,1067500,106,60,0.0,0.0,0.0
3,3585255,142438,1096210.0,retailer,pick-up,app,6/9/2020 8:49,siap-diambil,6/9/2020 8:50,2020-06-09 08:49:00,20200609,1,0,88000,0,5,0,0.0,0.0,0.0
4,3585257,59125,0.0,guest,pick-up,otc,6/9/2020 8:49,selesai,6/9/2020 8:49,2020-06-09 08:49:00,20200609,3,3,1138300,1138300,24,24,0.0,0.0,0.0
5,3585272,135132,110094.0,retailer,pick-up,app,6/9/2020 8:49,selesai,6/10/2020 7:35,2020-06-09 08:49:00,20200609,3,0,4062000,0,21,0,0.0,0.0,0.0
6,3585289,141694,126113.0,retailer,pick-up,app,6/9/2020 8:50,selesai,6/10/2020 20:26,2020-06-09 08:50:00,20200609,3,2,697100,403100,41,11,0.0,0.0,0.0
7,3585306,54204,18819.0,retailer,pick-up,app,6/9/2020 8:50,selesai,6/10/2020 9:55,2020-06-09 08:50:00,20200609,19,6,711700,225950,62,12,0.0,0.0,0.0
8,3585323,145109,241385.0,retailer,same-day,app,6/9/2020 8:51,selesai,6/11/2020 15:43,2020-06-09 08:51:00,20200609,14,2,869400,112800,58,7,0.0,0.0,0.0
9,3585340,54995,50062.0,retailer,same-day,app,6/9/2020 8:52,selesai,6/15/2020 13:57,2020-06-09 08:52:00,20200609,5,1,503800,0,30,0,147191.25,inf,1.0
10,3585355,138430,52163.0,retailer,pick-up,app,6/9/2020 8:52,selesai,6/11/2020 9:18,2020-06-09 08:52:00,20200609,10,4,251050,131150,16,7,0.0,0.0,0.0
11,3743257,54577,36259.0,retailer,pick-up,app,6/19/2020 0:53,selesai,6/19/2020 16:10,2020-06-19 00:53:00,20200619,3,3,222800,222800,17,17,0.0,0.0,0.0
