id,wholesaler_id,retailer_id,buyer_type,shipping_type,order_type,book_time,last_status,last_status_time,anomaly_label
5270143,154524,104735,retailer,pick-up,app,8/29/2020 15:53,siap-diambil,8/29/2020 16:06,0
5331813,137063,103017,retailer,pick-up,app,9/1/2020 16:10,siap-diambil,9/8/2020 11:24,0
5417783,66127,57862,retailer,pick-up,app,9/5/2020 10:59,selesai,9/5/2020 18:42,0
5386974,144940,176418,retailer,pick-up,app,9/4/2020 6:21,selesai,9/16/2020 5:18,0
5387065,1117875,23291,retailer,pick-up,app,9/4/2020 6:28,selesai,9/5/2020 12:06,0
5285453,58028,24796,retailer,pick-up,app,8/30/2020 17:59,selesai,8/31/2020 11:13,0
5192567,58238,33072,retailer,same-day,app,8/26/2020 10:18,selesai,8/27/2020 16:24,0
5192676,159970,1155101,retailer,next-day,app,8/26/2020 10:22,selesai,8/28/2020 17:02,0
5125558,58028,24796,retailer,pick-up,app,8/23/2020 9:39,selesai,8/24/2020 16:00,0
5189923,60841,29562,retailer,pick-up,app,8/26/2020 9:02,selesai,8/26/2020 9:15,0
5189957,89992,44418,retailer,pick-up,otc,8/26/2020 9:03,selesai,8/27/2020 16:44,0
5189959,53872,29215,retailer,next-day,app,8/26/2020 9:03,selesai,8/31/2020 16:04,0
5190102,137088,144194,retailer,same-day,app,8/26/2020 9:07,selesai,8/28/2020 8:34,0
5190468,92271,1253677,retailer,pick-up,otc,8/26/2020 9:18,selesai,8/26/2020 9:18,0
3700386,144915,216658,retailer,pick-up,otc,6/16/2020 14:01,selesai,6/16/2020 14:01,0
3519615,134903,190532,retailer,pick-up,app,6/4/2020 12:50,selesai,6/5/2020 13:12,0
3797775,54444,237111,retailer,same-day,app,6/22/2020 10:50,selesai,6/27/2020 9:54,0
3775392,55952,61674,retailer,pick-up,app,6/20/2020 16:59,selesai,6/25/2020 15:45,0
3775456,56853,199053,retailer,pick-up,app,6/20/2020 17:04,selesai,7/24/2020 13:17,0
3800024,132955,125783,retailer,pick-up,app,6/22/2020 12:07,selesai,7/2/2020 14:23,0
3800056,147705,72788,retailer,same-day,app,6/22/2020 12:08,selesai,6/25/2020 14:01,0
3800058,232623,1102634,retailer,pick-up,app,6/22/2020 12:08,siap-diambil,6/23/2020 14:48,0
3800081,56210,13593,retailer,same-day,app,6/22/2020 12:09,selesai,6/23/2020 18:52,0
3800090,63672,21656,retailer,pick-up,app,6/22/2020 12:10,selesai,6/27/2020 10:49,0
3800092,134363,264032,retailer,pick-up,app,6/22/2020 12:10,selesai,6/29/2020 12:56,0
3800126,57364,43463,retailer,same-day,app,6/22/2020 12:11,selesai,6/23/2020 8:18,0
3800149,145134,108310,retailer,pick-up,app,6/22/2020 12:12,selesai,7/1/2020 17:44,0
3800156,54022,242881,retailer,pick-up,otc,6/22/2020 12:12,selesai,6/22/2020 12:12,0
3800158,136340,102615,retailer,pick-up,app,6/22/2020 12:12,selesai,6/28/2020 11:01,0
3571055,140598,126295,retailer,pick-up,app,6/8/2020 10:09,selesai,6/8/2020 10:14,0
3480973,57640,161810,retailer,next-day,app,6/1/2020 15:01,selesai,6/2/2020 15:21,0
3481043,137586,95404,retailer,pick-up,app,6/1/2020 15:07,selesai,6/9/2020 10:00,0
3481050,175613,26578,retailer,pick-up,otc,6/1/2020 15:08,selesai,6/1/2020 15:08,0
3481052,139666,80026,retailer,same-day,app,6/1/2020 15:08,pesanan-diterima,8/6/2020 16:43,0
3481118,138013,161496,retailer,same-day,app,6/1/2020 15:13,selesai,6/2/2020 20:05,0
3481184,58464,22214,retailer,pick-up,app,6/1/2020 15:18,selesai,6/4/2020 6:51,0
3481575,143959,82745,retailer,pick-up,app,6/1/2020 15:50,selesai,6/10/2020 10:22,0
3482043,140738,114211,retailer,same-day,app,6/1/2020 16:34,selesai,6/6/2020 12:34,0
3482213,54307,3434,retailer,next-day,app,6/1/2020 16:50,selesai,6/7/2020 12:25,0
3482222,53834,1102907,retailer,pick-up,otc,6/1/2020 16:52,selesai,6/1/2020 16:52,0
3572402,140386,116648,retailer,same-day,app,6/8/2020 11:05,selesai,6/10/2020 12:42,0
3572432,53852,10674,retailer,pick-up,app,6/8/2020 11:06,selesai,7/30/2020 23:55,0
3800560,91873,37012,retailer,pick-up,otc,6/22/2020 12:29,selesai,6/22/2020 12:29,0
3800624,100514,97392,retailer,pick-up,otc,6/22/2020 12:32,selesai,6/22/2020 12:32,0
3800628,1145,1097,retailer,same-day,app,6/22/2020 12:32,selesai,7/30/2020 11:56,0
3492907,194753,202161,retailer,pick-up,otc,6/2/2020 14:14,selesai,6/2/2020 14:14,0
3800719,56677,178524,retailer,pick-up,app,6/22/2020 12:37,selesai,6/29/2020 7:04,0
3493452,172815,208250,retailer,pick-up,app,6/2/2020 14:47,pesanan-diterima,6/2/2020 18:54,0
3493477,140151,1092062,retailer,pick-up,otc,6/2/2020 14:48,selesai,6/2/2020 14:48,0
3493516,183958,4518,retailer,same-day,app,6/2/2020 14:51,selesai,6/3/2020 18:02,0
3573004,131638,203846,retailer,same-day,app,6/8/2020 11:30,selesai,6/10/2020 0:14,0
3573029,57637,9317,retailer,pick-up,otc,6/8/2020 11:31,selesai,6/8/2020 11:31,0
5266835,101429,74394,retailer,same-day,app,8/29/2020 13:36,selesai,8/31/2020 21:50,0
5243682,61602,209757,retailer,same-day,app,8/28/2020 13:04,selesai,8/29/2020 7:17,0
5265240,56578,1284261,retailer,pick-up,app,8/29/2020 12:34,selesai,9/4/2020 16:42,0
5265299,183958,190933,retailer,pick-up,app,8/29/2020 12:37,selesai,9/3/2020 0:13,0
5181972,54011,34598,retailer,same-day,app,8/25/2020 18:45,selesai,8/27/2020 15:07,0
5182026,137063,1110163,retailer,pick-up,app,8/25/2020 18:48,selesai,9/1/2020 11:17,0
5265536,54616,56357,retailer,pick-up,app,8/29/2020 12:47,selesai,8/30/2020 13:10,0
5265672,137937,140807,retailer,pick-up,app,8/29/2020 12:52,selesai,8/30/2020 14:57,0
5265686,175615,32442,retailer,pick-up,app,8/29/2020 12:53,selesai,8/31/2020 18:03,0
5283284,233327,1108921,retailer,pick-up,app,8/30/2020 14:58,selesai,8/31/2020 13:50,0
5283301,264064,98587,retailer,pick-up,app,8/30/2020 15:00,siap-diambil,8/31/2020 17:44,0
5331248,1147,601,retailer,pick-up,app,9/1/2020 15:48,siap-diambil,9/1/2020 18:32,0
5331301,178839,32880,retailer,pick-up,app,9/1/2020 15:50,selesai,9/2/2020 9:18,0
5331315,141611,115186,retailer,pick-up,app,9/1/2020 15:50,selesai,9/2/2020 11:57,0
5331334,55696,50002,retailer,next-day,app,9/1/2020 15:51,selesai,9/3/2020 20:26,0
5331465,56644,22595,retailer,pick-up,app,9/1/2020 15:56,selesai,9/1/2020 16:20,0
5331469,222294,149476,retailer,next-day,app,9/1/2020 15:56,selesai,9/5/2020 6:56,0
5331483,137934,1156265,retailer,pick-up,app,9/1/2020 15:57,selesai,9/3/2020 13:53,0
5331502,136324,3814,retailer,pick-up,app,9/1/2020 15:58,selesai,9/3/2020 8:39,0
5331519,138797,1152603,retailer,pick-up,app,9/1/2020 15:58,siap-diambil,9/1/2020 16:53,0
5331552,54737,1126033,retailer,pick-up,app,9/1/2020 16:00,siap-diambil,9/1/2020 19:12,0
5331569,170435,163695,retailer,same-day,app,9/1/2020 16:00,selesai,9/1/2020 18:05,0
5287595,197027,115062,retailer,pick-up,app,8/30/2020 21:35,selesai,9/7/2020 8:03,0
5287682,135818,254409,retailer,pick-up,app,8/30/2020 21:44,selesai,9/3/2020 16:10,0
5287746,55696,36976,retailer,same-day,app,8/30/2020 21:51,selesai,9/2/2020 9:36,0
5287849,170824,195742,retailer,pick-up,app,8/30/2020 22:02,siap-diambil,9/3/2020 12:32,0
5287949,155520,69882,retailer,pick-up,app,8/30/2020 22:15,selesai,8/30/2020 23:04,0
5417919,138995,182580,retailer,pick-up,app,9/5/2020 11:03,selesai,9/7/2020 8:48,0
5418005,137950,242157,retailer,same-day,app,9/5/2020 11:06,selesai,9/8/2020 12:21,0
5428751,57918,192375,retailer,pick-up,app,9/5/2020 21:37,selesai,9/9/2020 21:10,0
5428802,208993,82183,retailer,pick-up,app,9/5/2020 21:43,selesai,9/6/2020 11:29,0
5417619,174454,1105766,retailer,pick-up,app,9/5/2020 10:53,selesai,9/5/2020 21:20,0
5417655,1150672,1223774,retailer,pick-up,app,9/5/2020 10:54,selesai,9/5/2020 13:42,0
5417702,130615,73809,retailer,same-day,app,9/5/2020 10:56,selesai,9/7/2020 16:12,0
5437790,54022,53506,retailer,next-day,app,9/6/2020 15:30,pesanan-diterima,9/12/2020 10:29,0
5438043,155809,75191,retailer,pick-up,app,9/6/2020 15:53,siap-diambil,9/8/2020 14:18,0
5438411,141908,105315,retailer,pick-up,app,9/6/2020 16:24,siap-diambil,9/11/2020 16:22,0
5438461,140253,113116,retailer,pick-up,app,9/6/2020 16:28,selesai,9/8/2020 17:57,0
5282716,238353,1241100,retailer,pick-up,app,8/30/2020 14:14,selesai,9/14/2020 12:12,0
5182476,249306,122067,retailer,pick-up,app,8/25/2020 19:27,selesai,8/25/2020 21:03,0
5185983,1234305,176121,retailer,pick-up,app,8/26/2020 6:42,selesai,8/30/2020 22:57,0
5182543,138067,119810,retailer,pick-up,app,8/25/2020 19:33,selesai,9/2/2020 19:40,0
5182575,238099,249836,retailer,pick-up,app,8/25/2020 19:35,selesai,8/26/2020 19:04,0
5182593,165218,88276,retailer,next-day,app,8/25/2020 19:37,selesai,8/27/2020 20:02,0
5190295,131672,242643,retailer,pick-up,app,8/26/2020 9:13,konfirmasi-perubahan,8/26/2020 11:46,0
5190331,226796,22902,retailer,same-day,app,8/26/2020 9:14,selesai,8/27/2020 12:28,0
3774251,138797,118797,retailer,pick-up,app,6/20/2020 15:51,selesai,6/21/2020 8:56,0
3774266,56644,22595,retailer,same-day,app,6/20/2020 15:52,selesai,6/22/2020 16:13,0
3774284,53923,166235,retailer,same-day,app,6/20/2020 15:53,selesai,6/21/2020 10:20,0
3774351,53834,1101133,retailer,pick-up,otc,6/20/2020 15:56,selesai,6/20/2020 15:56,0
3774365,173684,200328,retailer,pick-up,otc,6/20/2020 15:57,selesai,6/20/2020 15:57,0
3768836,134958,229324,retailer,same-day,app,6/20/2020 11:30,selesai,6/22/2020 13:02,0
3668109,1145,557,retailer,same-day,app,6/14/2020 17:44,selesai,6/16/2020 9:09,0
3799720,54022,241338,retailer,pick-up,otc,6/22/2020 11:56,selesai,6/22/2020 11:56,0
3799734,54465,4755,retailer,next-day,app,6/22/2020 11:57,selesai,6/23/2020 17:45,0
3799738,131672,122814,retailer,pick-up,app,6/22/2020 11:57,selesai,6/22/2020 14:18,0
3799787,130615,84808,retailer,pick-up,otc,6/22/2020 11:59,selesai,6/22/2020 11:59,0
3799788,132745,101951,retailer,pick-up,app,6/22/2020 11:59,selesai,6/25/2020 9:27,0
3796679,137164,234228,retailer,same-day,app,6/22/2020 10:18,selesai,6/24/2020 9:03,0
5265153,134374,77400,retailer,pick-up,app,8/29/2020 12:29,selesai,8/31/2020 12:28,0
5336595,54449,228112,retailer,pick-up,app,9/1/2020 21:56,selesai,9/4/2020 20:24,0
5336627,55952,232670,retailer,next-day,app,9/1/2020 21:59,selesai,9/3/2020 8:40,0
5336634,166626,1171487,retailer,pick-up,otc,9/1/2020 21:59,selesai,9/1/2020 21:59,0
5336670,138680,1180112,retailer,pick-up,otc,9/1/2020 22:02,selesai,9/1/2020 22:02,0
5336729,166626,1171492,retailer,pick-up,otc,9/1/2020 22:09,selesai,9/1/2020 22:09,0
5404958,249306,117726,retailer,pick-up,app,9/4/2020 17:09,siap-diambil,9/4/2020 17:53,0
5405056,54584,185595,retailer,pick-up,otc,9/4/2020 17:15,selesai,9/4/2020 17:15,0
5405058,159897,1155965,retailer,pick-up,app,9/4/2020 17:15,selesai,9/13/2020 22:08,0
5405113,216416,175516,retailer,pick-up,app,9/4/2020 17:18,selesai,9/10/2020 10:30,0
